"FileName","ArrayID"
"Br1811","HB_18_34"
"Br1942","HB_22_35"
"Br1808","HB_16_29"
"Br1804","HB_17_91"
"Br1817","HB_18_16"
"Br1806","HB_16_62"
"Br1816","HB_18_35"
"Br1801","HB_20_84"
"Br1809","HB_20_80"
"Br1814","HB_17_26"
"Br1786","HB_20_75"
"Br1779","HB_20_76"
"Br1795","HB_20_88"
"Br1793","HB_18_17"
"Br1787","HB_18_64"
"Br1790","HB_20_27"
"Br1780","HB_16_76"
"Br1784","HB_17_59"
"Br1781","HB_18_68"
"Br1794","HB_17_74"
"Br1813","HB_20_29"
"Br1812","HB_18_58"
"Br1800","HB_17_75"
"Br1792","HB_20_82"
"Br1824","HB_22_42"
"Br1777","HB_20_86"
"Br1782","HB_17_58"
"Br1788","HB_20_97"
"Br1791","HB_16_28"
"Br1778","HB_20_73"
"Br1796","HB_20_83"
"Br1802","HB_17_25"
"Br1798","HB_18_33"
"Br1826","HB_22_43"
"Br1789","HB_16_27"
"Br1815","HB_22_41"
"Br1805","HB_16_61"
"Br1803","HB_16_77"
"Br826","HB_18_89"
"Br1708","HB_18_15"
"Br1118","HB_16_33"
"Br906","HB_22_58"
"Br1190","HB_17_63"
"Br1452","HB_18_46"
"Br1379","HB_18_71"
"Br905","HB_17_94"
"Br1647","HB_18_54"
"Br1852","HB_20_34"
"Br1863","HB_20_42"
"Br1845","HB_20_47"
"Br847","HB_22_67"
"Br1490","HB_16_56"
"Br1623","HB_18_86"
"Br957","HB_17_78"
"Br1061","HB_17_27"
"Br1627","HB_19_50"
"Br1846","HB_20_44"
"Br1380","HB_18_43"
"Br1342","HB_16_66"
"Br1872","HB_20_67"
"Br1866","HB_20_60"
"Br1287","HB_17_66"
"Br1290","HB_22_45"
"Br1844","HB_19_51"
"Br1218","HB_16_20"
"Br1877","HB_20_39"
"Br1855","HB_20_33"
"Br1870","HB_20_62"
"Br1873","HB_20_63"
"Br1533","HB_22_47"
"Br1302","HB_22_46"
"Br1975","HB_22_40"
"Br1244","HB_18_81"
"Br1967","HB_22_38"
"Br1553","HB_16_90"
"Br1670","HB_16_72"
"Br1968","HB_22_39"
"Br1963","HB_22_36"
"Br1965","HB_22_37"
"Br1435","HB_16_23"
"Br1868","HB_20_46"
"Br1966","HB_22_55"
"Br1848","HB_20_64"
"Br1878","HB_20_38"
"Br1847","HB_20_52"
"Br1977","HB_22_56"
"Br1875","HB_20_40"
"Br1961","HB_22_52"
"Br1412","HB_17_17"
"Br1964","HB_22_54"
"Br982","HB_18_76"
"Br1962","HB_22_53"
"Br1282","HB_20_79"
"Br1849","HB_20_53"
"Br1854","HB_20_65"
"Br1876","HB_20_43"
"Br1858","HB_20_58"
"Br1874","HB_20_49"
"Br1856","HB_19_52"
"Br1879","HB_20_68"
"Br1881","HB_20_41"
"Br1859","HB_20_66"
"Br1853","HB_20_55"
"Br1851","HB_22_66"
"Br1531","HB_17_36"
"Br1857","HB_20_57"
"Br1289","HB_22_60"
"Br1292","HB_17_67"
"Br887","HB_17_11"
"Br1860","HB_22_50"
"Br890","HB_17_45"
"Br1407","HB_18_67"
"Br1279","HB_18_90"
"Br1143","HB_18_70"
"Br1861","HB_20_37"
"Br1880","HB_20_35"
"Br1865","HB_20_59"
"Br1524","HB_18_50"
"Br1058","HB_17_62"
"Br914","HB_18_19"
"Br885","HB_20_89"
"Br1331","HB_18_11"
"Br836","HB_16_14"
"Br1550","HB_16_71"
"Br1040","HB_18_78"
"Br1004","HB_20_78"
"Br1306","HB_17_82"
"Br1187","HB_16_19"
"Br852","HB_16_30"
"Br1250","HB_18_21"
"Br848","HB_18_36"
"Br1133","HB_18_69"
"Br1558","HB_18_57"
"Br1518","HB_17_35"
"Br1276","HB_18_82"
"Br928","HB_17_77"
"Br1350","HB_18_23"
"Br845","HB_18_59"
"Br1281","HB_16_65"
"Br1657","HB_20_72"
"Br1340","HB_16_53"
"Br1033","HB_16_63"
"Br822","HB_17_60"
"Br1227","HB_16_21"
"Br1604","HB_17_21"
"Br1204","HB_20_70"
"Br1389","HB_17_69"
"Br1469","HB_20_71"
"Br1346","HB_17_84"
"Br1410","HB_18_12"
"Br1556","HB_18_51"
"Br1148","HB_17_14"
"Br1761","HB_22_34"
"Br1512","HB_20_90"
"Br993","HB_16_79"
"Br1405","HB_17_34"
"Br1735","HB_22_32"
"Br1571","HB_20_96"
"Br926","HB_20_77"
"Br1225","HB_16_64"
"Br1142","HB_17_29"
"Br1633","HB_18_88"
"Br1458","HB_16_87"
"Br1697","HB_20_85"
"Br1446","HB_17_51"
"Br991","HB_20_32"
"Br1385","HB_18_25"
"Br1134","HB_18_39"
"Br1191","HB_17_30"
"Br1408","HB_16_37"
"Br1548","HB_17_20"
"Br1474","HB_16_68"
"Br1324","HB_20_94"
"Br1568","HB_17_54"
"Br898","HB_20_98"
"Br1409","HB_16_55"
"Br1459","HB_20_81"
"Br1263","HB_17_64"
"Br1378","HB_18_24"
"Br1221","HB_20_92"
"Br973","HB_16_17"
"Br1442","HB_18_45"
"Br1890","HB_22_51"
"Br1390","HB_16_67"
"Br1674","HB_18_14"
"Br863","HB_16_46"
"Br1105","HB_18_79"
"Br1473","HB_17_18"
"Br1517","HB_16_57"
"Br1644","HB_17_71"
"Br1179","HB_18_41"
"Br1432","HB_18_72"
"Br1325","HB_18_60"
"Br1167","HB_16_34"
"Br948","HB_16_16"
"Br1525","HB_16_70"
"Br1581","HB_18_28"
"Br1691","HB_16_73"
"Br1271","HB_17_50"
"Br1532","HB_20_74"
"Br1750","HB_22_31"
"Br1649","HB_17_37"
"Br1288","HB_16_22"
"Br1164","HB_17_16"
"Br1560","HB_17_86"
"Br1122","HB_20_31"
"Br1092","HB_22_26"
"Br1753","HB_22_30"
"Br1356","HB_17_68"
"Br1243","HB_18_80"
"Br1463","HB_17_52"
"Br1228","HB_16_51"
"Br1193","HB_16_82"
"Br1706","HB_16_74"
"Br827","HB_22_22"
"Br1565","HB_18_52"
"Br922","HB_22_23"
"Br1039","HB_17_12"
"Br1424","HB_16_85"
"Br1111","HB_18_20"
"Br1431","HB_18_13"
"Br1384","HB_18_44"
"Br1249","HB_18_42"
"Br1113","HB_22_28"
"Br859","HB_17_76"
"Br1536","HB_17_19"
"Br1314","HB_18_49"
"Br1611","HB_16_41"
"Br946","HB_17_61"
"Br1351","HB_20_95"
"Br1185","HB_17_49"
"Br1539","HB_18_61"
"Br1443","HB_18_26"
"Br1764","HB_22_49"
"Br1456","HB_16_24"
"Br1365","HB_18_84"
"Br1264","HB_22_29"
"Br1034","HB_18_37"
"Br909","HB_18_73"
"Br1006","HB_19_49"
"Br1285","HB_18_22"
"Br1096","HB_17_46"
"Br1305","HB_17_32"
"Br846","HB_20_30"
"Br1304","HB_16_83"
"Br1109","HB_22_27"
"Br1069","HB_17_79"
"Br1135","HB_18_40"
"Br1157","HB_17_15"
"Br1275","HB_17_65"
"Br1214","HB_17_31"
"Br1537","HB_18_85"
"Br942","HB_16_31"
"Br1654","HB_16_58"
"Br1297","HB_17_99"
"Br1023","HB_16_18"
"Br1695","HB_16_25"
"Br1504","HB_16_69"
"Br1522","HB_20_91"
"Br1150","HB_17_47"
"Br1494","HB_16_89"
"Br925","HB_22_24"
"Br1137","HB_17_28"
"Br1756","HB_22_33"
"Br1615","HB_18_29"
"Br1160","HB_18_65"
"Br1060","HB_22_25"
"Br1613","HB_18_53"
"Br1107","HB_17_96"
