"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","numGenesContained","propSignifDeGenes","overlapCancerBlock","cancerBlockSign"
"chr16",85334204,85654365,-0.12417140054904,9.56119784227607,676,175539,175658,77,1115,0,0,0,0,4,1,TRUE,-1
"chr15",69867297,70614790,-0.145161668321125,8.70970009926752,659,164491,164560,60,1437,0,0,0,0,3,1,TRUE,-1
"chr1",10651801,10927256.5,-0.139054231834553,8.06514544640409,2,2597,2702,58,1401,0,0,0,0,4,0,TRUE,-1
"chr11",44764920.5,45015033,-0.128560064197,4.88528243948601,534,128131,128177,38,420,0,0,0,0,2,1,TRUE,-1
"chr7",69525741,70194602,-0.160632608581897,4.8189782574569,361,90369,90412,30,199,0,0,0,0,1,1,TRUE,-1
"chr17",35037101,35464574,-0.150589880929763,4.66828630882266,678,181557,181613,31,1362,0,0,0,0,6,0.666666666666667,TRUE,-1
"chr11",115535955,116127307,-0.1493248968987,4.479746906961,551,134433,134467,30,1679,0,0,0,0,0,NA,TRUE,-1
"chr1",208390549,209008498,-0.190074636943814,3.99156737582008,46,17986,18011,21,921,0,0,0,0,1,1,TRUE,-1
"chr2",102326438,102460597,0.140191498451759,3.92536195664926,74,28621,28648,28,361,0,0,0,0,5,1,TRUE,1
"chr1",3064439,3210420.5,-0.126528979763196,3.79586939289588,2,1075,1160,30,1401,0,0,0,0,2,1,TRUE,-1
"chr2",54697181,54867326,0.128071474904502,3.58600129732605,61,25524,25561,28,210,0,0,0,0,9,1,TRUE,-1
"chr1",48022001,48508839,-0.199127252122451,3.58429053820412,4,8053,8094,18,781,0,0,0,0,2,0,TRUE,-1
"chr13",100252695,100538120,-0.174488230368048,3.48976460736097,617,151690,151719,20,337,0,0,0,0,4,1,TRUE,-1
"chr16",54352341,54689236.5,-0.156916111461373,3.4521544521502,671,172795,172816,22,502,0,0,0,0,0,NA,TRUE,-1
"chr7",42047167,42287188,-0.213523348416255,3.41637357466008,354,88656,88680,16,1610,0,0,0,0,1,1,TRUE,-1
"chr10",119443936,119876327,-0.159153122365539,3.34221556967632,522,122055,122085,21,115,0,0,0,0,5,0.5,TRUE,-1
"chr14",100849016,101029504.5,-0.130956459368906,3.27391148422266,646,158919,158952,25,742,0,0,0,0,3,1,TRUE,-1
"chr12",114157913,114337801.5,-0.134117895387506,3.21882948930014,580,144988,145011,24,2282,0,0,0,0,2,1,TRUE,-1
"chr4",4643278,4840199,-0.186839852322146,3.17627748947648,159,51886,51902,17,730,0,0,0,0,0,NA,TRUE,-1
"chr2",171181391,171621820,-0.13193606103966,3.16646546495185,87,32503,32532,24,802,0,0,0,0,2,0,TRUE,-1
"chr1",205263738,205460879,-0.136433466347769,3.13796972599869,46,17610,17646,23,921,0,0,0,0,4,0.75,TRUE,-1
"chr14",33826344,34320864,-0.148949396572326,3.12793732801884,626,154316,154341,21,148,0,0,0,0,3,0,TRUE,-1
"chr12",106845849,107176420,-0.141067752888969,3.10349056355732,580,144145,144181,22,2282,0,0,0,0,5,0.666666666666667,TRUE,-1
"chr9",133286522,133580010,-0.235676036466075,3.06378847405897,492,111643,111680,13,878,0,0,0,0,5,0.5,TRUE,-1
"chr17",71580633,71863334,-0.132154116988476,3.03954469073495,685,185993,186019,23,1275,0,0,0,0,3,0.5,TRUE,-1
"chr16",49559517,49766785,-0.186550880580591,2.98481408928945,671,172434,172465,16,502,0,0,0,0,1,1,TRUE,-1
"chr3",112829534,112998777,-0.129026364742689,2.96760638908184,137,44797,44823,23,606,0,0,0,0,1,0,TRUE,-1
"chr6",155197031,155432132,-0.156007487009214,2.96414225317507,346,82730,82752,19,1469,0,0,0,0,0,NA,TRUE,-1
"chr15",47618795,47967175,-0.20205324171716,2.82874538404023,656,162519,162532,14,296,0,0,0,0,5,1,TRUE,-1
"chr9",126118563.5,126333046,-0.164123851411413,2.79010547399402,492,110815,110845,17,878,0,0,0,0,4,0,TRUE,-1
"chr2",204973770,205201205,-0.168506408505286,2.69610253608457,95,34431,34446,16,587,0,0,0,0,0,NA,TRUE,-1
"chr2",6026872,6326889,-0.127679924817633,2.6812784211703,49,21982,22002,21,873,0,0,0,0,1,0,TRUE,-1
"chr2",144359756,144712819,-0.113083981639587,2.60093157771049,84,31196,31223,23,149,0,0,0,0,2,0,TRUE,1
"chr5",157440814,158018481,-0.183060525914927,2.56284736280898,306,69474,69487,14,998,0,0,0,0,0,NA,TRUE,-1
"chr1",207963099,208037215,0.158285559879592,2.53256895807347,46,17924,17939,16,921,0,0,0,0,2,1,TRUE,-1
"chr10",102329863,102650389,-0.148792798510032,2.52947757467055,518,120638,120707,17,1034,0,0,0,0,2,1,TRUE,-1
"chr1",38887425,39212920,-0.15617161394499,2.49874582311983,4,6787,6816,16,781,0,0,0,0,0,NA,TRUE,-1
"chr11",125847237,126042395,-0.137480896816629,2.47465614269933,551,135722,135744,18,1679,0,0,0,0,1,0,TRUE,-1
"chr2",43567990,43696363,-0.138431467108179,2.35333494083904,60,24818,24834,17,497,0,0,0,0,3,1,TRUE,1
"chr17",55517831,55634551,-0.111658291078279,2.34482411264385,682,184574,184594,21,251,0,0,0,0,6,1,TRUE,-1
"chr5",168245286,168591808,-0.111470933385607,2.34088960109775,309,69919,69939,21,234,0,0,0,0,4,0.5,TRUE,-1
"chr17",29596696,29704528,0.133570206465132,2.27069350990725,678,180991,181012,17,1362,0,0,0,0,5,0.75,FALSE,NA
"chr10",91043813,91187721,0.125542209204948,2.25975976568906,518,119612,119633,18,1034,0,0,0,0,5,1,TRUE,-1
"chr12",24365132,24577904,-0.186970999226377,2.24365199071652,556,138750,138761,12,391,0,0,0,0,0,NA,TRUE,-1
"chr2",44843165,45112257,-0.159850045612457,2.2379006385744,60,24911,24931,14,497,0,0,0,0,1,1,TRUE,-1
"chr4",140684596,140877994,-0.116643705733802,2.21623040894224,228,57802,57824,19,226,0,0,0,0,1,1,TRUE,1
"chr7",104681418,104897205,0.116612535079692,2.21563816651415,369,93043,93065,19,371,0,0,0,0,7,1,FALSE,NA
"chr2",16400723,16514107,-0.245608968204839,2.21048071384355,50,22797,22805,9,71,0,0,0,0,0,NA,TRUE,-1
"chr11",8228265,8385739.5,-0.156469354756716,2.19057096659403,524,125880,125900,14,1541,0,0,0,0,1,0,TRUE,-1
"chr5",81882123,82168922,-0.195627309950777,2.15190040945854,279,64874,64884,11,358,0,0,0,0,0,NA,TRUE,-1
"chr1",87959213,88196409,-0.214259143069702,2.14259143069702,15,10344,10353,10,183,0,0,0,0,0,NA,TRUE,-1
"chr1",37056867,37271841.5,-0.152862774172267,2.14007883841174,4,6577,6590,14,781,0,0,0,0,1,1,TRUE,-1
"chr16",56681906,56858002,-0.125311857626424,2.13030157964921,671,172989,173032,17,502,0,0,0,0,7,1,TRUE,-1
"chr17",75607016,75784724,-0.117995839544522,2.1239251118014,685,186842,186859,18,1275,0,0,0,0,0,NA,TRUE,-1
"chr8",129696418,130089463,-0.175112967294457,2.10135560753349,416,105512,105523,12,1023,0,0,0,0,0,NA,TRUE,-1
"chr9",89163954,89555718,-0.138688476971827,2.0803271545774,480,109097,109111,15,440,0,0,0,0,0,NA,TRUE,-1
"chr10",114938426,115354202,-0.121262715762015,2.06146616795426,521,121718,121734,17,330,0,0,0,0,3,0.5,TRUE,-1
"chr12",32138937,32333435,-0.157551782588388,2.04817317364904,556,139260,139277,13,391,0,0,0,0,3,1,TRUE,-1
"chr1",41751958,41952221,-0.117974148671754,2.00556052741982,4,7171,7201,17,781,0,0,0,0,2,0,TRUE,-1
"chr15",60210453,60455085,-0.142941828805358,2.00118560327501,658,163355,163380,14,322,0,0,0,0,1,0,TRUE,-1
"chr6",137599332,137861989,-0.132192013299638,1.98288019949457,344,81607,81634,15,947,0,0,0,0,1,0,TRUE,-1
"chr3",64142957,64248100,0.123501735920305,1.97602777472487,113,43025,43040,16,1672,0,0,0,0,1,1,TRUE,-1
"chr10",80021452,80195602,-0.116110669151325,1.97388137557252,515,118843,118863,17,879,0,0,0,0,1,0,TRUE,-1
"chr14",97326473,97538227,-0.162673650267455,1.95208380320946,645,158583,158598,12,689,0,0,0,0,1,1,TRUE,-1
"chr8",26451955,26519438,0.121727920640568,1.94764673024908,384,100100,100115,16,560,0,0,0,0,2,1,TRUE,-1
"chr2",16767476,16955374,0.113741328387276,1.93360258258369,51,22811,22827,17,17,0,0,0,0,3,0,TRUE,-1
"chr10",124953690,125231256,-0.160051114047316,1.92061336856779,523,122545,122556,12,1054,0,0,0,0,0,NA,TRUE,-1
"chr2",60722557.5,60797109.5,-0.120036082066646,1.92057731306634,62,25796,25824,16,881,0,0,0,0,3,1,TRUE,-1
"chr16",73697499,74134895,-0.174564474867438,1.92020922354182,674,174541,174551,11,661,0,0,0,0,0,NA,TRUE,-1
"chr3",194448743,194659868,-0.127703594905193,1.9155539235779,157,50160,50174,15,394,0,0,0,0,0,NA,TRUE,-1
"chr8",37218068,37404497,-0.147109139005712,1.91241880707426,386,100725,100737,13,188,0,0,0,0,0,NA,TRUE,-1
"chr7",90755643,91050449,-0.112160983988179,1.90673672779904,368,91610,91631,17,732,0,0,0,0,3,1,TRUE,-1
"chr8",94179384,94430696,-0.145420335716617,1.89046436431603,407,103536,103548,13,784,0,0,0,0,0,NA,TRUE,-1
"chr6",113650073,113886322,-0.145372610872021,1.88984394133628,341,80410,80422,13,473,0,0,0,0,0,NA,TRUE,-1
"chr2",60442527,60602483,-0.231675856820713,1.85340685456571,62,25773,25780,8,881,0,0,0,0,0,NA,TRUE,-1
"chr3",139692028,140017225,-0.181519803674175,1.81519803674175,138,47015,47024,10,1028,0,0,0,0,1,1,TRUE,-1
"chr7",114026072,114329926.5,-0.20121445467763,1.81093009209867,370,93540,93548,9,173,0,0,0,0,2,0,TRUE,-1
"chr3",57102900,57235092,-0.14953632068095,1.7944358481714,113,42549,42577,12,1672,0,0,0,0,4,0.5,TRUE,-1
"chr6",161836956,162311879,-0.137845491261806,1.79199138640348,346,83390,83407,13,1469,0,0,0,0,2,1,TRUE,-1
"chr5",172331791,172456055,0.111835973570851,1.78937557713362,310,70298,70325,16,677,0,0,0,0,3,0,TRUE,-1
"chr1",61298421,61408076,-0.162618652548898,1.78880517803788,7,9077,9087,11,371,0,0,0,0,1,1,TRUE,-1
"chr3",72570318,72777245,-0.148635487158787,1.78362584590544,114,43567,43583,12,310,0,0,0,0,0,NA,TRUE,-1
"chr6",98565945,99090481,-0.146996849251806,1.76396219102167,339,79492,79503,12,74,0,0,0,0,0,NA,TRUE,-1
"chr2",153226118,153305731,0.106983648328824,1.71173837326118,85,31626,31641,16,286,0,0,0,0,1,0,FALSE,NA
