"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits","corrToExprs","corrToExprsTstat","corrToExprsPvalue","corrToExprsPvalueBonf"
"chr6",32115964,32118457,-0.33359053896646,17.0131174872894,158450,160098,160148,51,54,0,0,0,0,"PRRT1","NM_030651","overlaps 3'","overlaps 3'",2403,"covers exon(s)",0,4,6,"overlaps 3'UTR","-",4720,3114,"80863",52359,-0.370286639935927,-6.26483091438497,1.63776893902926e-09,1.06242071074828e-05
"chr6",31650735,31651362,-0.409643511133991,8.60251373381381,158292,158005,158025,21,21,0,0,0,0,"LY6G5C","NM_001002848","upstream","upstream",2585,NA,NA,NA,3,NA,"-",3689,3416,"80741",52196,0.148910270358719,2.3666955707915,0.0187166742972693,1
"chr12",58012960,58013915,-0.368759330272077,7.74394593571362,45527,301627,301647,21,22,0,0,0,0,"SLC26A10","NM_001018084","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,14,"5' UTR","+",6241,5524,"65012",44727,0.0532047171704586,0.83736378640803,0.403194329163741,1
"chr3",55516184,55518798,-0.40197440548798,7.23553929878363,128056,87676,87693,18,20,0,0,0,0,"WNT5A","NM_001256105","covers exon(s)","inside",2872,"covers exon(s)",0,2,5,"5' UTR","-",21927,9345,"7474",48460,-0.114289481048574,-1.80804743708222,0.0718105021305919,1
"chr2",74728623,74731413,-0.281589269351462,6.47655319508362,104946,56875,56897,23,23,0,0,0,0,"LBX2","NM_001009812","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,2,"overlaps 5' UTR","-",5799,4932,"85474",55942,0.587312725969354,11.4044960848052,1.68596083390708e-24,1.09368279295552e-20
"chr20",36148133,36149455,-0.152322690294648,6.0929076117859,116990,438868,438907,40,44,0,0,0,0,"BLCAP","NM_001167820","inside intron","inside",6878,"inside intron",-380,2,2,"5' UTR","-",10514,263,"10904",3612,-0.412908918783633,-7.12513201849904,1.12644970266432e-11,7.30727922118347e-08
"chr6",30038791,30039600,-0.168705839594708,6.0734102254095,157937,154297,154332,36,53,0,0,0,0,"RNF39","NM_025236","overlaps exon upstream","inside",4028,"overlaps exon upstream",0,4,4,"overlaps 3'UTR","-",5585,4678,"80352",52011,0.423279143572434,7.34255950943939,3.00155008004103e-12,1.94710553692262e-08
"chr17",6898738,6900356,-0.379346885187716,6.06955016300345,79147,379867,379882,16,17,0,0,0,0,"ALOX12","NM_000697","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,2,14,"overlaps 5' UTR","+",14671,14305,"239",17345,-0.839243483462516,-24.2567464115335,2.05706812348676e-67,1.33442009170586e-63
"chr1",221053841,221055964,-0.377128631396869,5.65692947095304,17275,40337,40351,15,30,0,0,0,0,"HLX","NM_021958","covers exon(s)","inside",1098,"covers exon(s)",0,1,4,"inside transcription region","+",5657,4846,"3142",23840,-0.326459882712272,-5.42812078511657,1.35504546237011e-07,0.000879017991439492
"chr22",46480891,46482023,0.465709869300952,5.58851843161142,123460,455049,455060,12,12,0,0,0,0,"MIRLET7BHG","NM_207477","overlaps 5'","overlaps 5'",0,"overlaps exon upstream",0,1,5,"5' UTR","+",25641,12083,"400931",27599,NA,NA,NA,NA
"chr4",4862910,4864902,-0.308151480111817,5.54672664201271,136828,106518,106535,18,19,0,0,0,0,"MSX1","NM_002448","overlaps exon upstream","inside",1518,"overlaps exon upstream",0,2,2,"overlaps 3'UTR","+",4268,3243,"4487",29459,0.423698115706958,7.35141659460761,2.84265461887544e-12,1.8440300512645e-08
"chr6",30094947,30095349,-0.250375500864481,5.25788551815409,157953,154500,154520,21,29,0,0,0,0,"TRIM40","NM_001286633","upstream","upstream",8536,NA,NA,NA,6,NA,"+",12627,10775,"135644",7757,0.042260131076508,0.664763966350584,0.50681913978752,1
"chr4",151502935,151504187,-0.561829607002157,5.05646646301941,142727,118850,118858,9,9,0,0,0,0,"LRBA","NM_001199282","inside intron","inside",432462,"inside intron",5012,41,58,"inside transcription region","-",750838,748920,"987",61299,0.771373339493837,19.0499838933732,1.85240073210735e-50,1.20165235491804e-46
"chr6",30652202,30653799,0.185848079258032,4.83205006070884,158078,155838,155863,26,30,0,0,0,0,"PPP1R18","NM_001134870","inside exon","inside",1873,"inside exon",0,1,3,"overlaps 5' UTR","-",11506,8749,"170954",11307,0.23335210728895,3.77153976076931,0.000202924969561387,1
"chr4",4859772,4860698,-0.240732527351909,4.81465054703818,136827,106485,106504,20,32,0,0,0,0,"MSX1","NM_002448","promoter","promoter",694,NA,NA,NA,2,NA,"+",4268,3243,"4487",29459,0.413386039167178,7.13506093329298,1.06100256425775e-11,6.88272363434002e-08
"chr6",31506093,31508318,0.242082308747964,4.59956386621131,158245,157295,157313,19,65,0,0,0,0,"DDX39B","NM_004640","covers exon(s)","inside",1607,"covers exon(s)",0,2,4,"overlaps 5' UTR","-",8150,5290,"7919",49902,NA,NA,NA,NA
"chr4",154710900,154712145,-0.206253834000703,4.53758434801547,142962,119312,119333,22,55,0,0,0,0,"SFRP2","NM_003013","promoter","promoter",672,NA,NA,NA,3,NA,"-",8486,7384,"6423",43590,-0.0783100132429995,-1.23452963682976,0.218174069246358,1
"chr13",113698408,113699526,0.299506607838813,4.4925991175822,55772,325022,325036,15,15,0,0,0,0,"MCF2L","NM_001112732","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,2,20,"overlaps 5' UTR","+",42801,42731,"23263",16027,-0.343344971073867,-5.74535347380022,2.67796571034104e-08,0.000173719635629823
"chr8",1764329,1766126,-0.262973799250684,4.47055458726163,179392,211141,211157,17,18,0,0,0,0,"ARHGEF10","NM_014629","upstream","upstream",6023,NA,NA,NA,23,NA,"+",101421,99293,"9639",60409,0.63472707199459,12.909342646453,1.65577204007739e-29,1.0740993223982e-25
"chr18",74728834,74729551,0.289474444229343,4.34211666344014,90065,408440,408454,15,15,0,0,0,0,"MBP","NM_001025081","overlaps exon upstream","inside",115223,"overlaps exon upstream",0,4,4,"inside transcription region","-",120035,88447,"4155",28306,-0.723058705631551,-16.4504635407619,1.30280023399511e-41,8.45126511792627e-38
"chr6",30850405,30851753,-0.255413188096181,4.34202419763507,158110,156244,156260,17,51,0,0,0,0,"DDR1","NM_001202521","overlaps 5'","overlaps 5'",0,"covers exon(s)",0,1,17,"5' UTR","+",17239,10566,"780",49193,-0.627561382545613,-12.6680172613869,1.07526077931385e-28,6.97521667540893e-25
"chr17",79098060,79100682,0.269486562756349,4.31178500410159,87471,401130,401145,16,16,0,0,0,0,"AATK","NM_001080395","covers exon(s)","inside",39190,"covers exon(s)",0,7,14,"inside transcription region","-",48776,47590,"9625",60355,0.804575648256757,21.2930794324738,6.46687304768248e-58,4.19506054603163e-54
"chr17",4802692,4804674,-0.304990879944955,4.26987231922937,78927,379268,379281,14,15,0,0,0,0,"CHRNE","NM_000080","covers exon(s)","inside",1695,"covers exon(s)",0,10,12,"inside transcription region","-",5305,4327,"1145",5197,-0.196451094152562,-3.14883059126281,0.00184013392846755,1
