Rank	P-value	Position (hg19)	SCZ	Protein coding genes	OMIM	NHGRI GWAS catalog	KO phenotype
1	3.48e-31	chr6:28303247-28712247	Y	Locus too broad		"SCZ pmid=19571808/19571809/
19571811"	
2	3.362e-19	chr1:97792625-98559084	Y	DPYD MIR137 (micro-RNA)	DPYD 5-fluorouracil toxicity; DPYD Dihydropyrimidine dehydrogenase deficiency	ASD-ADHD-BIP-MDD-SCZ p=2E-11 pmid=23453885; SCZ p=2E-11 pmid=21926974	
3	6.198e-19	chr10:104423800-105165583	Y	"ARL3 AS3MT C10orf32 CNNM2
CYP17A1 INA NT5C2 PCGF6
PDCD11 SFXN2 TAF5 TRIM8
USMG5 WBP1L"	"CNNM2 Hypomagnesemia 6, renal; CYP17A1 17,20-lyase deficiency, isolated; CYP17A1 17- alpha-hydroxylase/17,20-lyase deficiency"	ASD-ADHD-BIP-MDD-SCZ p=2E-9 pmid=23453885; Blood pressure p=4E-17 pmid=21572416; Coronary heart disease p=1E-9 pmid=21378990; Intracranial aneurysm p=1E-9 pmid=20364137; SCZ p=2E-9 pmid=22688191; Systolic blood pressure p=7E-26 pmid=21909115	Arl3 nervous; Cyp17a1 behavioral neurological; Ina nervous
4	3.217e-18	chr12:2321860-2523731	Y	CACNA1C	CACNA1C Brugada syndrome 3; CACNA1C Timothy syndrome	SCZ: pmid=22614287; ASD-ADHD- BIP-MDD-SCZ p=5E-9 pmid=23453885; Bipolar disorder p=2E-8 pmid=21926972; Bipolar disorder and major depressive disorder (combined) p=3E-8 pmid=20351715; Red blood cell traits p=3E-9 pmid=23222517	Cacna1c behavioral neurological nervous
5	1.737e-15	chr8:143309503-143330533	Y	TSNARE1		SCZ pmid = 23974872	
6	7.98e-15	chr4:103146888-103198090	N	SLC39A8		Blood pressure p=1E-10 pmid=21909110; Body mass index p=2E-13 pmid=20935630; Diastolic blood pressure p=2E-17 pmid=21909115; HDL cholesterol p=7E-11 pmid=20686565; Systolic blood pressure p=3E-14 pmid=21909115	
7	8.2e-15	chr7:1896096-2190096	Y	MAD1L1	"MAD1L1 Lymphoma, somatic; MAD1L1 Prostate cancer, somatic"	SCZ p=2E-9 pmid=22688191	
8	1.099e-14	chr5:60499143-60843543	Y	ZSWIM6		SCZ p=4E-8 pmid=22688191	
9	1.859e-14	chr12:123448113-123909113	Y	"ABCB9 ARL6IP4 C12orf65
CDK2AP1 MPHOSPH9
OGFOD2 PITPNM2 RILPL2
SBNO1 SETD8"	"C12orf65 Combined oxidative phosphorylation deficiency 7; C12orf65 Spastic paraplegia 55, autosomal recessive"	SCZ pmid = 23974872; HDL cholesterol p=8E-9 pmid=20686565; Head circumference (infant) p=8E-9 pmid=22504419; Height p=4E-15 pmid=20881960	
10	5.652e-14	chr2:200715237-200848037	Y	"AC073043.2 C2orf47 C2orf69
TYW5"		SCZ pmid = 23974872	
11	8.296e-14	chr15:91416560-91429040	N	FES FURIN MAN2A2			Fes nervous; Furin nervous
12	1.053e-13	chr3:36843183-36945783	N	TRANK1		Bipolar disorder p=1E-12 pmid=22182935	
13	1.363e-13	chr14:103996234-104184834	N	"AL049840.1 APOPT1 BAG5
CKB KLC1 PPP1R13B TRMT61A XRCC3 ZFYVE21"	"XRCC3 Breast cancer, susceptibility to; XRCC3
Melanoma, cutaneous malignant, 6"		Ckb behavioral neurological nervous; Klc1 behavioral neurological nervous
14	2.439e-13	chr15:78803032-78926732	N	"AC027228.1 AGPHD1 CHRNA3
CHRNA5 CHRNB4 IREB2
PSMA4"	"CHRNA3 Lung cancer susceptibility 2; CHRNA5 Lung cancer susceptibility 2; CHRNA5
Nicotine dependence, susceptibility to"	"Airflow obstruction p=3E-9 pmid=22837378; Chronic obstructive pulmonary disease p=1E-10 pmid=19300482; Lung adenocarcinoma p=2E-51 pmid=19836008; Lung cancer p=3E-
26 pmid=19654303; Nicotine dependence p=6E-20 pmid=18385739; Response to tocilizumab in rheumatoid arthritis p=4E-8 pmid=22491018; Smoking behavior p=3E-73 pmid=20418890"	Chrna3 behavioral neurological nervous; Chrna5 behavioral neurological nervous; Chrnb4 behavioral neurological nervous; Ireb2 behavioral neurological nervous
15	3.034e-13	chr7:110843815-111205915	N	IMMP2L			
16	1.088e-12	chr11:130714610-130749330	Y	SNX19		SCZ pmid = 23974872	
17	1.53e-12	chr2:185601420-185785420	Y	ZNF804A		SCZ pmid = 20368704	
18	1.606e-12	chrX:21193266-21570266	N	CNKSR2			
19	1.971e-12	chr10:18681005-18770105	Y	CACNB2	CACNB2 Brugada syndrome 4	SCZ pmid = 23974872; Blood pressure p=2E-16 pmid=21909110; Diastolic blood pressure p=1E-8 pmid=19430479	Cacnb2 nervous
20	2.015e-12	chr12:57428314-57682971	N	"LRP1 MYO1A NAB2 NDUFA4L2
NXPH4 R3HDM2 SHMT2
STAC3 STAT6 TAC3
TMEM194A"	"MYO1A Deafness, autosomal dominant 48; TAC3
Hypogonadotropic hypogonadism
10 with or without anosmia"	Abdominal aortic aneurysm p=5E-10 pmid=22055160; IgE levels p=2E-12 pmid=22075330; Migraine p=4E-9 pmid=21666692; Pulmonary function p=1E-8 pmid=21946350	Nab2 behavioral neurological nervous
21	2.025e-12	chr1:73766426-73991366	Y	LRRIQ3 *		SCZ pmid = 23974872	
22	2.315e-12	chr2:233559301-233753501	Y	"C2orf82 EFHD1 GIGYF2
KCNJ13 NGEF"	GIGYF2 Parkinson disease 11; KCNJ13 Leber congenital amaurosis 16; KCNJ13 Snowflake vitreoretinal degeneration	SCZ pmid = 23974872	Gigyf2 behavioral neurological nervous; Ngef nervous
23	2.804e-12	chr11:124610007-124620147	Y	ESAM MSANTD2 NRGN VSIG2		SCZ pmid=19571808	Nrgn behavioral neurological nervous
24	3.337e-12	chr18:52747686-53200117	Y	TCF4	"TCF4 Diabetes mellitus, type 2, susceptibility to; TCF4 Pitt-Hopkins syndrome"	ASD-ADHD-BIP-MDD-SCZ p=3E-10 pmid=23453885; SCZ p=3E-10 pmid=23571483	Tcf4 nervous
25	1.259e-11	chr11:46342943-46751213	Y	"AMBRA1 ARHGAP1 ATG13
CHRM4 CKAP5 CREB3L1
DGKZ F2 HARBI1 MDK ZNF408"	"F2 Dysprothrombinemia; F2
Hypoprothrombinemia; F2
Pregnancy loss, recurrent, susceptibility to, 2; F2 Stroke,
ischemic, susceptibility to; F2
Thrombophilia due to thrombin defect; MDK Mesomelic dysplasia, Kantaputra type"	SCZ pmid=21747397; Bone mineral density p=5E-18 pmid=22504420; Bone mineral density (hip) p=4E-9 pmid=19801982; HDL cholesterol p=3E-18 pmid=20686565	Ambra1 nervous; Arhgap1 nervous; Chrm4 behavioral neurological nervous; F2 nervous; Mdk behavioral neurological nervous
26	1.301e-11	chr3:180588843-181205585	N	CCDC39 DNAJC19 FXR1	"CCDC39 Ciliary dyskinesia, primary, 14; DNAJC19 3- methylglutaconic aciduria, type V"		Fxr1 behavioral neurological
27	1.462e-11	chr20:37361494-37485994	N	ACTR5 PPP1R16B SLC32A1			Slc32a1 behavioral neurological nervous
28	1.473e-11	chr2:57943593-58502192	Y	FANCL VRK2	"FANCL Fanconi anemia, complementation group L"	SCZ pmid= 21791550	
29	1.618e-11	chr15:84661161-85153461	N	"ADAMTSL3 GOLGA6L4
ZSCAN2"			
30	1.971e-11	chr18:53453389-53804154	N	TCF4 *			
31	2.064e-11	chr2:198148577-198835577	N	"ANKRD44 BOLL COQ10B HSPD1 HSPE1 MARS2 PLCL1
RFTN2 SF3B1"	"HSPD1 Leukodystrophy, hypomyelinating, 4; HSPD1
Spastic paraplegia 13, autosomal
dominant; SF3B1 Myelodysplastic syndrome, somatic"	Intracranial aneurysm p=4E-8 pmid=18997786	Plcl1 behavioral neurological nervous
32	2.069e-11	chr22:41408556-41675156	N	"CHADL EP300 L3MBTL2
RANGAP1"	"EP300 Colorectal cancer, somatic; EP300 Rubinstein-Taybi syndrome
2"	Crohn's disease p=3E-8 pmid=22936669	Ep300 nervous
33	2.607e-11	chr8:111460061-111630761	N	KCNV1 *			
34	2.692e-11	chr3:2532786-2561686	N	CNTN4			Cntn4 nervous
35	2.749e-11	chr11:113317794-113423994	N	DRD2	"DRD2 Dystonia, myoclonic"		Drd2 behavioral neurological nervous
