"","meanDiff","tstat","pval","qval","bonf","meanControl","nearestGene","nearestRefseq","nearestGeneDist","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits"
"cg14703058",-0.0101974556337659,-7.66037591951078,4.6381578366214e-13,1.427983794768e-07,2.11737934846955e-07,0.0661817232321256,"CD164","NM_001142401",-69,"CD164","NM_001142401","promoter","promoter",69,NA,NA,NA,7,NA,"-",16045,14099,"8763",56587
"cg23959187",-0.0186678600533241,-7.55500992294404,8.93519513578535e-13,1.427983794768e-07,4.07903273702278e-07,0.0996276490505175,"COPZ2","NM_016429",652,"COPZ2","NM_016429","downstream","downstream",12271,NA,NA,NA,10,NA,"-",11619,11345,"51226",32029
"cg26168557",-0.0141261854783023,-7.46876322442229,1.52223411719295e-12,1.427983794768e-07,6.94919663542104e-07,0.0597063020206928,"SUGT1","NM_001130912",143,"SUGT1","NM_001130912","promoter","promoter",143,NA,NA,NA,13,NA,"+",35602,34914,"10910",3626
"cg16017358",-0.0169186261053719,-7.45716615657173,1.63483711611911e-12,1.427983794768e-07,7.46324396390882e-07,0.072128900380037,"HAT1","NM_001033085",0,"HAT1","NM_001033085","inside intron","inside",347,"inside intron",-264,1,10,"5' UTR","+",69665,38800,"8520",55681
"cg01949938",-0.0149539087114004,-7.45114004601502,1.69655525326452e-12,1.427983794768e-07,7.74499528333547e-07,0.107050424219734,"TYW1B","NM_001145440",-1234,"TYW1B","NM_001145440","promoter","promoter",1234,NA,NA,NA,14,NA,"-",275084,274897,"441250",29252
"cg14890726",-0.01044541404026,-7.43470484231851,1.87681462928941e-12,1.427983794768e-07,8.56790276860798e-07,0.108846533336308,"SPICE1","NM_144718",0,"SPICE1","NM_144718","inside exon","inside",7,"inside exon",0,1,4,"5' UTR","-",17423,7211,"152185",9780
"cg08376848",-0.0131414346689085,-7.37612915722995,2.6868908615341e-12,1.54410208220111e-07,1.22660060787152e-06,0.0981195144854824,"KDELC2","NM_153705",0,"KDELC2","NM_153705","inside intron","inside",540,"inside intron",272,1,8,"inside transcription region","-",26326,23539,"143888",8527
"cg03091589",-0.00759908428378591,-7.37497508593888,2.70590687616976e-12,1.54410208220111e-07,1.23528166576089e-06,0.0889499135657294,"MRPS18B","NM_014046",141,"MRPS18B","NM_014046","promoter","promoter",141,NA,NA,NA,7,NA,"+",8688,7931,"28973",22136
"cg10471794",-0.0193002622629914,-7.3227822565773,3.71988793351317e-12,1.71337879028064e-07,1.6981772001919e-06,0.114782482514008,"SEC61G","NM_001012456",87462,"SEC61G","NM_001012456","downstream","downstream",94461,NA,NA,NA,4,NA,"-",6999,5177,"23480",16707
"cg01244871",-0.0124848091051705,-7.3213175459759,3.7531872921048e-12,1.71337879028064e-07,1.71337879028064e-06,0.0723980989799514,"RMDN1","NM_001286707",0,"RMDN1","NM_001286707","inside exon","inside",165,"inside exon",0,1,9,"inside transcription region","-",36431,34312,"51115",31772
"cg13556491",-0.0142865519351949,-7.28902646219936,4.56676697368398e-12,1.78436566642869e-07,2.0847884914574e-06,0.0740746280022658,"LPAR2","NM_004720",0,"LPAR2","NM_004720","inside exon","inside",325,"inside exon",0,1,6,"5' UTR","-",5273,3028,"9170",58439
"cg19815139",-0.0182733954206668,-7.27866284215614,4.86304224138028e-12,1.78436566642869e-07,2.22004200273923e-06,0.0941763593046146,"VIPAS39","NM_001193314",-160,"VIPAS39","NM_001193314","promoter","promoter",160,NA,NA,NA,21,NA,"-",30965,26486,"63894",43077
"cg04397936",-0.0120036486528075,-7.26224753305034,5.37155877472668e-12,1.78436566642869e-07,2.4521864109268e-06,0.0908852565295888,"CRTAP","NM_006371",120,"CRTAP","NM_006371","promoter","promoter",120,NA,NA,NA,7,NA,"+",33815,28370,"10491",2431
"cg09735905",-0.0162974682174781,-7.25918244279043,5.47215946314817e-12,1.78436566642869e-07,2.49811193300016e-06,0.0824517856087127,"ANKRD13C","NM_030816",0,"ANKRD13C","NM_030816","inside exon","inside",220,"inside exon",0,1,12,"5' UTR","-",95732,91691,"81573",52635
"cg04929736",-0.0132463248543476,-7.23701685009894,6.25709893932921e-12,1.83991722616895e-07,2.85644700808999e-06,0.0890483922412654,"CLU","NM_001831",-67,"CLU","NM_001831","promoter","promoter",67,NA,NA,NA,9,NA,"-",17894,12330,"1191",6015
"cg18784586",-0.0274524773989689,-7.23202626681147,6.4485952467297e-12,1.83991722616895e-07,2.94386756187032e-06,0.105899987617397,"GPRC5A","NM_003979",0,"GPRC5A","NM_003979","inside exon","inside",445,"inside exon",0,1,4,"5' UTR","+",22644,4289,"9052",57739
"cg04293726",-0.0140273956639237,-7.19475405282459,8.07365749098292e-12,2.16807623657711e-07,3.68572960218109e-06,0.0792377596722122,"YIPF5","NM_001024947",-25,"YIPF5","NM_001024947","promoter","promoter",25,NA,NA,NA,6,NA,"-",12555,9558,"81555",52592
